name,notes,extensionID,address,service_worker,password,homePage,pathID
"metamask","","bkeiidaflgkgebaebbfekhldmgdefckk","0x033a5379bc3d5edd92b9b1da762688e97cef154c;0x4A981186BbFBeC244E0F7260529528D294EC04Ed;0x196E98A561479ff97D533401Cc10e95b238e1a2A","service_worker","Default1Password1!","",nkbihfbeogaeaoehlefnkodbefgpgknn
"phantom","","bfnaelmomeimhlpmgjnjophhpkkoljpa","0x033a5379bc3d5edd92b9b1da762688e97cef154c;0x4A981186BbFBeC244E0F7260529528D294EC04Ed;0x196E98A561479ff97D533401Cc10e95b238e1a2A","service_worker","Default1Password1!","",bfnaelmomeimhlpmgjnjophhpkkoljpa
"okx","","dhjdfoleigkechhamfionplmhjbpmhde","0x033a5379bc3d5edd92b9b1da762688e97cef154c;0x4A981186BbFBeC244E0F7260529528D294EC04Ed;0x196E98A561479ff97D533401Cc10e95b238e1a2A","service_worker","Default1Password1!","",mcohilncbfahbmgdjkbpemcciiolgcge
"ronin","","fnjhmkhhmkbjkkabndcnnogagogbneec","0x033a5379bc3d5edd92b9b1da762688e97cef154c;0x4A981186BbFBeC244E0F7260529528D294EC04Ed;0x196E98A561479ff97D533401Cc10e95b238e1a2A","service_worker","Default1Password1!","",fnjhmkhhmkbjkkabndcnnogagogbneec
"coinbase","","kjhlddnnnolbokhbfndodkbaagmngfkj","0x033a5379bc3d5edd92b9b1da762688e97cef154c;0x4A981186BbFBeC244E0F7260529528D294EC04Ed;0x196E98A561479ff97D533401Cc10e95b238e1a2A","service_worker","Default1Password1!","",hnfanknocfeofbddgcijnmhnfnkdnaad
"trust","","egjidjbpglichdcondbcbdnbeeppgdph","0x033a5379bc3d5edd92b9b1da762688e97cef154c;0x4A981186BbFBeC244E0F7260529528D294EC04Ed;0x196E98A561479ff97D533401Cc10e95b238e1a2A","service_worker","Default1Password1!","",egjidjbpglichdcondbcbdnbeeppgdph
"keplr","","mckaojhpeiklmjpeiamhahailbdpgpbm","0x033a5379bc3d5edd92b9b1da762688e97cef154c;0x4A981186BbFBeC244E0F7260529528D294EC04Ed;0x196E98A561479ff97D533401Cc10e95b238e1a2A","service_worker","Default1Password1!","",dmkamcknogkgcdfhhbddcghachkejeap
"rabby","","nnlghamekpifeidklpjglljbjmbondcg","0x033a5379bc3d5edd92b9b1da762688e97cef154c;0x4A981186BbFBeC244E0F7260529528D294EC04Ed;0x196E98A561479ff97D533401Cc10e95b238e1a2A","service_worker","Default1Password1!","",acmacodkjbdgmoleebolmdjonilkdbch
"solflare","","plecaomfeedicbjoaaadmoggndbfhoej","DBLwsdi5eh6gjsCq4ENGmsoawsz8vmhYvaiBaYooJWWx;CmAMcStYH5fDhqkZJ6WmnQiLUTxyAzCQkHHhwokyszM2;8sgL5Cu4fyXW7iR7PhieUJP1sXXpAgExyadJSsi3HtxH","service_worker","Default1Password1!","",bhhhlbepdkbapadjdnnojkbgioiodbic
"unisat","no-balance-btc","ehejckcjkllmmnimpgnnjhpkiaolalga","bc1qt834lseh5vxr7lqy2xkk4n59vef3xv8lq20n65;bc1qsg6jd83nd7edw7mypgsyegjy9dcx8vs9nfdfhy;bc1q5qx67932f009325rxssmsg8v7myam53r2pmwfq","service_worker","Default1Password1!","",ppbibelpcjmhbdihakflkdcoccbgbkpo
"backpack","","neibgfkfbmbhdhfheafgoglchomoajen","0x033a5379bc3d5edd92b9b1da762688e97cef154c;0x4A981186BbFBeC244E0F7260529528D294EC04Ed;0x196E98A561479ff97D533401Cc10e95b238e1a2A","service_worker","Default1Password1!","",aflkmfhebedbjioipglgcbcmnbpgliof
"tronlink","","mbhfebehdbendllficfcjnijohghdabd","0x033a5379bc3d5edd92b9b1da762688e97cef154c;0x4A981186BbFBeC244E0F7260529528D294EC04Ed;0x196E98A561479ff97D533401Cc10e95b238e1a2A","service_worker","Default1Password1!","",ibnejdfjmmkpcnlpebklmnkoeoihofec
"bitget","","ppfefhcpheehadbljalmmeacnmakkhcm","0x033a5379bc3d5edd92b9b1da762688e97cef154c;0x4A981186BbFBeC244E0F7260529528D294EC04Ed;0x196E98A561479ff97D533401Cc10e95b238e1a2A","service_worker","Default1Password1!","",jiidiaalihmmhddjgbnbgdfflelocpak
"petra","no-balance-apt","jjjfdedeloiafcjpillklholhdipoama","0xf26cbb3127abc72631e9236beacd595092126b5629ec53300e8ff1bb79f6cc5f;0x3051817efb8c7f6f5a7fbcb101d8415894e9227f51a71a61badccd0c50b14c91;0x315c73dabd76a9cbaf9f44a5109cb64b2903bf056c3c5fa39901d587e08bb670","service_worker","Default1Password1!","",ejjladinnckdgjemekebdpeokbikhfci
"station","no-balance-terra","jjgcknbinfmcpknbnemojcncagdgoljj","terra1ttkq0gvkqmw0426g82u6x7whpv4wqtsm9n57mh;terra1yp3u9995yntm0nlv2arrxe70jz9yy3anxe9tyr;terra1drpsthzk9n9v2gpeuf7zjl2syyk4mlw06a4zvw","service_worker","Default1Password1!","",aiifbnbfobpmeekipheeijimdpnlpgpp
"ready","no-balance","pjmejmhmiacobchhpeieiclodcjndkko","0x00B0E0F64dbb5fF672b3F0B8F89A5176ca045186105F121D5709c7232C4Ae831;0x053D571D7F356DdE3919b7a2427cA21b6a60159A3982791496439285B2c20006;0x01d28BA78C9A70FeAfC7C34Cd549a5181C6051296148200aCEF667bA6b6c0030","service_worker","Default1Password1!","",dlcobpjiigpikoobohmabehhmhfoodbb
"xverse","no-balance-btc","caphdjgoklaigiapfhjocdmaeocaollk","bc1qt834lseh5vxr7lqy2xkk4n59vef3xv8lq20n65;bc1qsg6jd83nd7edw7mypgsyegjy9dcx8vs9nfdfhy;bc1q5qx67932f009325rxssmsg8v7myam53r2pmwfq","service_worker","Default1Password1!","",idnnbdplmphpflfnlkomgpfbpcgelopg
"bybit","","pdabijkgjacmhlcihdmmblegnfigakib","0x033a5379bc3d5edd92b9b1da762688e97cef154c;0x4A981186BbFBeC244E0F7260529528D294EC04Ed;0x196E98A561479ff97D533401Cc10e95b238e1a2A","service_worker","Default1Password1!","",pdliaogehgdbhbnmkklieghmmjkpigpa
