name,notes,extensionID,address,service_worker,password,homePage,pathID
"rabby","","hjnnmfikcdglibjpkgjehjmfdhafgnch","0x033a5379bc3d5edd92b9b1da762688e97cef154c","background_page","Default1Password1!","",acmacodkjbdgmoleebolmdjonilkdbch
"coin98","dead-incorrect-balance","egmolailmpljncmjaepgjdbdkcjpnekh","0x033a5379bc3d5edd92b9b1da762688e97cef154c","background_page","Default1Password1!","",aeachknmefphepccionboohckonoeemg
"math-wallet","no-balance","ohbgbaejcpmkkcfbjidnlpanehndigdl","0x033a5379bc3d5edd92b9b1da762688e97cef154c","background_page","Default1Password1!","",afbcbjpbpfadlkmhmclhkeeodmamcflc
"Earth","","bcahllgonphknfdjimoaoeibdjkibddi","0x033a5379bc3d5edd92b9b1da762688e97cef154c","background_page","Default1Password1!","",agkfnefiabmfpanochlcakggnkdfmmjd
"core","dead","ngnmgaiibbadalgdblgmmjldnmopkfid","0x033a5379bc3d5edd92b9b1da762688e97cef154c","service_worker","Default1Password1!","",agoakfejjabomempkjlepdflaleeobhb
"Exodus","","ppakoaihbhbkmpmjokpilhkljbknbijh","0x033a5379bc3d5edd92b9b1da762688e97cef154c","service_worker","Default1Password1!","",aholpfdialjgjfhomihkjbmgjidlcdno
"terra","dead","ejfcnmolbagckofobiplkffbhjeikdke","0x033a5379bc3d5edd92b9b1da762688e97cef154c","background_page","Default1Password1!","",aiifbnbfobpmeekipheeijimdpnlpgpp
"ethAddressLookup","lookup-only","eghedoohgpaljhcbjeihhlkjaeojohkm","0x033a5379bc3d5edd92b9b1da762688e97cef154c","background_page","Default1Password1!","",akocdkpmigbhfjpjclikcccjagknieic
"wombat","dead-only-social-media","bjfenaahpgfghcacnjgagbeeaccdlchb","0x033a5379bc3d5edd92b9b1da762688e97cef154c","background_page","Default1Password1!","",amkmjjmmflddogmhpjloimipbofnfjih
"bolt-x","","djaidlebfmmlnpfbihaophgdjmimgked","0x033a5379bc3d5edd92b9b1da762688e97cef154c","background_page","Default1Password1!","",aodkkagnadcbobfpggfnjeongemjbjca
"dexWallet","","efblcnhbmfghjjdfllmpmbmekappplfg","0x033a5379bc3d5edd92b9b1da762688e97cef154c","service_worker","Default1Password1!","",aplknenimmngdhgkhajknkgmbpoidmbd
"TimebirdDex","incorrect-balance","depbdcpecnocbldngecgkkpjfiigkbco","0x033a5379bc3d5edd92b9b1da762688e97cef154c","service_worker","P@ssw0rd","",bbjobibhhdmgglolffijmklfnhfgfopc
"d-wallet","","lgkkacacneeagkiakpeclbhlhmhnficb","0x033a5379bc3d5edd92b9b1da762688e97cef154c","background_page","Default1Password1!","",bccippoanbhflmokhkbkepmhmndijenh
"phantom-sol","dead","epphnbjompjmanignjeigfinkgpdalld","DBLwsdi5eh6gjsCq4ENGmsoawsz8vmhYvaiBaYooJWWx","background_page","Default1Password1!","",bfnaelmomeimhlpmgjnjophhpkkoljpa
"lightstreams","dead","bgjmopgccoiigfbngjidceceapboibbj","0x033a5379bc3d5edd92b9b1da762688e97cef154c","background_page","Default1Password1!","",bjpgjikkpigjhblalajifcdmokjnlegk
"dekey","dead","encppmpgofobfgdkfdmlpfalkgobpmkd","0x033a5379bc3d5edd92b9b1da762688e97cef154c","background_page","Default1Password1!","",cekclnkpicopjiagjphfoahcinhmgbjp
"apechefrarity","dead","lmchkngnkjgomhehppjngopndbgndjdd","0x033a5379bc3d5edd92b9b1da762688e97cef154c","","Default1Password1!","dead",cenpfkdeflbobpamjimhcofdeggfemhd
"pitaka","incorrect-balance","obomekdalnlobhofpkaloppmbcoddgja","0x033a5379bc3d5edd92b9b1da762688e97cef154c","background_page","Default1Password1!","",cfiohoajmkbfokjfhnfkikegflenlang
"JustLiquidity","no-balance-network-broken","oihocepfeidmkffjpoidbbedphamconh","0x033a5379bc3d5edd92b9b1da762688e97cef154c","background_page","Default1Password1!","",cmbagcoinhmacpcgmbiniijboejgiahi
"moonstake","no-balance-cardano","ljccjbflnkhmggdofajfdpekceoelkal","addr1qy57sfzcxwujvjh80fuvs2lv3cgsmmuddh2k0axdeeahjvf6hu4vvw38r2sa9qkzr5w29lzyar6rdu07944tdfx3uy9q9hk0cu","background_page","Default1Password1!","",cpjianbolonkcnnnkjlcdlcfgnhjdjed
"Qkc-customed","no-balance-qkc","iaeofemjbmhdldiknamhbbhpmfedbipf","0x033a5379bc3d5edd92b9b1da762688e97cef154c","background_page","Default1Password1!","",dhabdofcfmbcogjdnlnjnodicfmaaiej
"clear-wallet-customed","need-to-set-up-network-handler","hkicjmbcejfbfggecdblfplamjeokkin","0xB04a6B36d7A2f2D112520D25Fed4973809D1d178","service_worker","Default1Password1!","",djlahdpfkflehaepgohnnodmaajabdlg
"keplr-cosmos","no-balance-cosmos","pclkhejdeldlpjgkdnankmabedljebbf","cosmos10wnp47844gmlm6gj97f7wvtxg08jkmkd6aaydv","background_page","Default1Password1!","",dmkamcknogkgcdfhhbddcghachkejeap
"burnerX","no-import-but-request","pkjegiggggepjckakphnmpejcmgdbemi","0x033a5379bc3d5edd92b9b1da762688e97cef154c","background_page","Default1Password1!","",dmoidpfmmhnchjngdjcbkpdjfmhkpnjg
"celo","no-balance-celo","kafadfenancceocobejhmchabgbjenck","0x033a5379bc3d5edd92b9b1da762688e97cef154c","background_page","Default1Password1!","",dommpfbbddejhlmnoeilamlncnedcjfi
