name,notes,extensionID,address,service_worker,password,homePage,pathID
"rabby","","komefeffngacicldboljngeajojgjjbh","0x033a5379bc3d5edd92b9b1da762688e97cef154c;0x4A981186BbFBeC244E0F7260529528D294EC04Ed;0x196E98A561479ff97D533401Cc10e95b238e1a2A","service_worker","Default1Password1!","",acmacodkjbdgmoleebolmdjonilkdbch
"coin98","","jgiekhdaphlfaeecajangadocjdbcaab","0x033a5379bc3d5edd92b9b1da762688e97cef154c;0x4A981186BbFBeC244E0F7260529528D294EC04Ed;0x196E98A561479ff97D533401Cc10e95b238e1a2A","service_worker","Default1Password1!","",aeachknmefphepccionboohckonoeemg
"mathWallet","no-balance","fmihmhohonnlmmanmgcmkeaoogfdbfgb","0x033a5379bc3d5edd92b9b1da762688e97cef154c;0x4A981186BbFBeC244E0F7260529528D294EC04Ed;0x196E98A561479ff97D533401Cc10e95b238e1a2A","service_worker","Default1Password1!","",afbcbjpbpfadlkmhmclhkeeodmamcflc
"core","","agoakfejjabomempkjlepdflaleeobhb","0x033a5379bc3d5edd92b9b1da762688e97cef154c;0x4A981186BbFBeC244E0F7260529528D294EC04Ed;0x196E98A561479ff97D533401Cc10e95b238e1a2A","service_worker","Default1Password1!","",agoakfejjabomempkjlepdflaleeobhb
"exodus","no-adding","eblfaabapomkeboglhcbdmogcmfgoeji","0x033a5379BC3D5edD92b9B1dA762688E97CEF154c;bc1qt834lseh5vxr7lqy2xkk4n59vef3xv8lq20n65;DVQQ74Zo7YfWUvyWemhQuUKBKqKi1CitKnrDy8NsxPw5","service_worker","Default1Password1!","",aholpfdialjgjfhomihkjbmgjidlcdno
"stationWallet","new-wallet","onhhjfbgfocjiofemjjojhjjjpcgkhon","terra173rv6xndsw4tumyx30qaglhex80lqrcav067u8;terra1xgrl50x3a84l5ys4eru3squk4qyq29pcjwt7fc;terra1ug7mdmc38x8w7872yw7rsfkwczyxfdj4uayw6y","service_worker","Default1Password1!","",aiifbnbfobpmeekipheeijimdpnlpgpp
"ethAddressLookup","dead-only-lookup","egoofllpmcgeiblkofcecmelomomimdm","0x033a5379bc3d5edd92b9b1da762688e97cef154c;0x4A981186BbFBeC244E0F7260529528D294EC04Ed;0x196E98A561479ff97D533401Cc10e95b238e1a2A","background_page","Default1Password1!","",akocdkpmigbhfjpjclikcccjagknieic
"wombat","dead-only-social-media","amkmjjmmflddogmhpjloimipbofnfjih","0x033a5379bc3d5edd92b9b1da762688e97cef154c;0x4A981186BbFBeC244E0F7260529528D294EC04Ed;0x196E98A561479ff97D533401Cc10e95b238e1a2A","service_worker","Default1Password1!","",amkmjjmmflddogmhpjloimipbofnfjih
"dexWallet","","hkfancnadekdgoaphihiifddgajapacc","0x033a5379bc3d5edd92b9b1da762688e97cef154c;0x4A981186BbFBeC244E0F7260529528D294EC04Ed;0x196E98A561479ff97D533401Cc10e95b238e1a2A","service_worker","Default1Password1!","",aplknenimmngdhgkhajknkgmbpoidmbd
"d-wallet","","jcbfgobnbiepaddbnboebffnmbcajcol","0x033a5379bc3d5edd92b9b1da762688e97cef154c;0x4A981186BbFBeC244E0F7260529528D294EC04Ed;0x196E98A561479ff97D533401Cc10e95b238e1a2A","service_worker","Default1Password1!","",bccippoanbhflmokhkbkepmhmndijenh
"phantom","","bfnaelmomeimhlpmgjnjophhpkkoljpa","0x033a5379bc3d5edd92b9b1da762688e97cef154c;0x4A981186BbFBeC244E0F7260529528D294EC04Ed;0x196E98A561479ff97D533401Cc10e95b238e1a2A","service_worker","Default1Password1!","",bfnaelmomeimhlpmgjnjophhpkkoljpa
"dekey","dead-cant-import","hgmfdokdhjgobbkadnbdpffdpllegfhm","0x033a5379bc3d5edd92b9b1da762688e97cef154c;0x4A981186BbFBeC244E0F7260529528D294EC04Ed;0x196E98A561479ff97D533401Cc10e95b238e1a2A","service_worker","Default1Password1!","",cekclnkpicopjiagjphfoahcinhmgbjp
